Symbol,Name,Sector,Industry
109820,진매트릭스,자연과학 및 공학 연구개발업,"B형간염치료제 내성진단,C형간염바이러스 유전형진단, 자궁경부암유발바이러스 유전형진단"
004650,창해에탄올,알코올음료 제조업,"주정(발효주정, 정제주정) 등"
042040,케이피엠테크,기타 화학제품 제조업,"표면처리약품, 전자동 도금설비"
054410,케이피티유,기타 금속 가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment"
220260,켐트로스,기타 화학제품 제조업,기타 화학제품 제조업
009730,코센,1차 철강 제조업,"스테인리스파이프, 선박용배관제작"
069110,코스온,기타 화학제품 제조업,화장품
166480,코아스템,의약품 제조업,줄기세포 치료제
033290,코웰패션,의복 액세서리 제조업,"콘덴서,저항기"
121850,코이즈,플라스틱제품 제조업,"보호필름, 도광판, 백코팅"
126600,코프라,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩
045340,토탈소프트,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등)
108230,톱텍,특수 목적용 기계 제조업,평판디스플레이 제조용 자동화설비
105550,트루윈,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)"
026150,특수건설,토목 건설업,보링
037070,파세코,가정용 기기 제조업,"석유스토브, 식기건조기,식기세척기"
150900,파수닷컴,소프트웨어 개발 및 공급업,기업용 문서보안 솔루션
032800,판타지오,창작 및 예술관련 서비스업,교육서비스
056730,포스링크,기타 전문 도매업,"석탄도매,통신공사외"
005670,푸드웰,"과실, 채소 가공 및 저장 처리업","깐밤, 통조림류, 딸기시럽류, 음료제품 등"
007330,푸른저축은행,은행 및 저축기관,대출이자
203690,프로스테믹스,기초 의약물질 및 생물학적 제제 제조업,화장품
024850,피에스엠씨,전자부품 제조업,리드프레임
270520,하나금융10호스팩,금융 지원 서비스업,-
067310,하나마이크론,반도체 제조업,"반도체패키징,USB플래쉬드라이브"
200470,하이셈,"그외 기타 전문, 과학 및 기술 서비스업",메모리 반도체 테스트
222980,한국맥널티,기타 식품 제조업,커피 및 의약품
063570,한국전자금융,기타 사업지원 서비스업,"ATM관리사업,CD-VAN사업"
041460,한국전자인증,소프트웨어 개발 및 공급업,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공"
