Symbol,Name,Sector,Industry
220260,켐트로스,기타 화학제품 제조업,기타 화학제품 제조업
009730,코센,1차 철강 제조업,"스테인리스파이프, 선박용배관제작"
069110,코스온,기타 화학제품 제조업,화장품
166480,코아스템,의약품 제조업,줄기세포 치료제
033290,코웰패션,의복 액세서리 제조업,"콘덴서,저항기"
121850,코이즈,플라스틱제품 제조업,"보호필름, 도광판, 백코팅"
126600,코프라,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩
045340,토탈소프트,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등)
108230,톱텍,특수 목적용 기계 제조업,평판디스플레이 제조용 자동화설비
105550,트루윈,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)"
026150,특수건설,토목 건설업,보링
037070,파세코,가정용 기기 제조업,"석유스토브, 식기건조기,식기세척기"
150900,파수닷컴,소프트웨어 개발 및 공급업,기업용 문서보안 솔루션
032800,판타지오,창작 및 예술관련 서비스업,교육서비스
056730,포스링크,기타 전문 도매업,"석탄도매,통신공사외"
005670,푸드웰,"과실, 채소 가공 및 저장 처리업","깐밤, 통조림류, 딸기시럽류, 음료제품 등"
007330,푸른저축은행,은행 및 저축기관,대출이자
203690,프로스테믹스,기초 의약물질 및 생물학적 제제 제조업,화장품
024850,피에스엠씨,전자부품 제조업,리드프레임
270520,하나금융10호스팩,금융 지원 서비스업,-
067310,하나마이크론,반도체 제조업,"반도체패키징,USB플래쉬드라이브"
200470,하이셈,"그외 기타 전문, 과학 및 기술 서비스업",메모리 반도체 테스트
222980,한국맥널티,기타 식품 제조업,커피 및 의약품
063570,한국전자금융,기타 사업지원 서비스업,"ATM관리사업,CD-VAN사업"
041460,한국전자인증,소프트웨어 개발 및 공급업,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공"
078350,한양디지텍,반도체 제조업,메모리 모듈
007770,한일화학,기초 화학물질 제조업,산화아연
086960,한컴MDS,소프트웨어 개발 및 공급업,"임베디드개발솔루션,임베디드소프트웨어"
279410,한화에이스스팩4호,금융 지원 서비스업,기업인수합병
076610,해성옵틱스,사진장비 및 광학기기 제조업,휴대폰용 렌즈모듈 및 카메라모듈
900270,헝셩그룹,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등
039610,화성밸브,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기"
204630,화이브라더스코리아,창작 및 예술관련 서비스업,창작 및 예술관련 서비스업
200670,휴메딕스,의약품 제조업,"히알루론산 관절염치료제, 히알루론산 더말필러"
054620,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션
058820,CMG제약,의약품 제조업,의약품
065770,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)"
079190,EMW,통신 및 방송 장비 제조업,휴대폰안테나
036640,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조
297570,IBKS제9호스팩,금융 지원 서비스업,
122450,KMH,텔레비전 방송업,방송채널사업 및 방송송출서비스
114450,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등
024940,PN풍년,기타 금속 가공제품 제조업,압력솥
950110,SBI핀테크솔루션즈,소프트웨어 개발 및 공급업,전자결제대행 및 핀테크 비스
184230,SGA솔루션즈,소프트웨어 개발 및 공급업,보안솔루션
063440,SM Life Design,기록매체 복제업,"추첨식복권 제조, 일반출판 인쇄, CD ·DVD 복제"
289080,SV인베스트먼트,기타 금융업,중소/벤처기업 투자 및 육성
024840,갑을메탈,1차 비철금속 제조업,모터코어
900280,골든센츄리,기타 금융업,트랙터용 휠 및 타이어
014200,광림,자동차용 엔진 및 자동차 제조업,"전기공사용, 운송용, 환경용 특수차량 및 건설용 장비인 유압크레인을 생산·판매하는 제조업체"
026910,광진실업,1차 철강 제조업,마봉
043650,국순당,알코올음료 제조업,탁주 및 약주
