Date,Close,Open,High,Low,Volume,Change
2016-07-05,246.91,247.67,247.84,246.51,54810.0,-0.0029
2016-07-06,241.86,245.37,245.74,240.73,71670.0,-0.020499999999999997
2016-07-07,244.6,243.15,245.02,242.63,62210.0,0.0113
2016-07-08,243.43,244.3,245.4,242.72,62670.0,-0.0048
2016-07-11,246.99,245.64,247.42,245.44,63840.0,0.0146
2016-07-12,247.14,247.36,248.35,246.62,72910.0,0.0006
2016-07-13,249.25,249.44,250.26,247.74,78640.0,0.0085
2016-07-14,249.8,248.95,249.96,248.36,67350.0,0.0022
2016-07-15,251.02,250.61,251.72,249.99,75740.0,0.0049
2016-07-18,251.52,251.08,251.65,250.31,55900.0,0.002
2016-07-19,250.97,251.64,251.76,250.08,62160.0,-0.0022
2016-07-20,250.66,250.37,250.66,249.08,60020.0,-0.0012
2016-07-21,250.44,251.11,251.36,249.72,63660.0,-0.0009
2016-07-22,250.04,249.43,250.7,248.97,55600.0,-0.0016
2016-07-25,250.65,250.4,251.49,249.69,68800.0,0.0024
2016-07-26,252.72,250.19,252.76,249.9,73290.0,0.0083
2016-07-27,252.73,252.63,253.2,252.13,78390.0,0.0
2016-07-28,251.86,253.27,253.34,251.0,74230.0,-0.0034000000000000002
2016-07-29,251.48,252.24,253.37,251.48,87040.0,-0.0015
2016-08-01,253.81,252.91,254.02,252.81,91150.0,0.009300000000000001
2016-08-02,251.93,252.8,253.14,251.76,61750.0,-0.0074
2016-08-03,248.65,250.56,250.56,248.6,74700.0,-0.013000000000000001
2016-08-04,249.24,250.22,250.34,248.65,54040.0,0.0024
2016-08-05,252.36,250.21,252.4,249.96,62000.0,0.0125
2016-08-08,254.11,253.34,254.18,252.51,64330.0,0.0069
2016-08-09,255.85,254.38,256.24,254.19,60350.0,0.0068000000000000005
2016-08-10,255.43,255.68,256.31,255.06,66940.0,-0.0016
2016-08-11,256.18,255.14,256.18,254.24,93470.0,0.0029
2016-08-12,256.17,256.86,257.88,255.7,74920.0,-0.0
2016-08-16,256.15,256.95,258.13,256.12,68320.0,-0.0001
2016-08-17,256.04,255.82,256.32,254.6,63810.0,-0.0004
2016-08-18,258.11,256.62,258.23,255.8,64010.00000000001,0.008100000000000001
2016-08-19,258.69,258.42,258.84,257.54,72800.0,0.0022
2016-08-22,257.27,258.54,258.63,256.92,62920.0,-0.0055000000000000005
2016-08-23,258.42,257.57,258.63,257.09,65710.0,0.0045000000000000005
2016-08-24,257.3,258.4,258.65,256.54,54460.0,-0.0043
